  x  y  f
      866.037      1951.74      66427.5
      1900.02      628.190      66141.0
      2084.58      2515.82      66118.9
      1541.60      1629.11      65961.8
      606.415      1553.33      65925.0
      1502.53      1511.99      65913.2
      624.992      2033.92      65907.2
      2434.71      2386.76      65760.8
      884.137      1132.90      65675.3
      957.612      2184.32      65285.9
      820.095      1038.14      65177.6
      806.869      1730.17      65101.4
      975.447      1981.34      64838.6
      2004.42      1521.93      64187.3
      2403.74      1749.46      64180.3
      1169.13      1490.15      64173.3
      966.570      1566.98      63795.8
      764.419      1967.47      63754.0
      1795.91      887.360      63414.7
      2353.23      1640.33      63389.0
      741.125      2149.02      63366.3
      1122.11      1963.01      63353.0
      1169.88      1741.13      63202.2
      455.847      1467.31      63070.6
      877.882      2146.75      62812.3
      1272.52      834.500      62736.1
      881.161      811.787      62259.4
      1184.28      1896.02      62249.8
      1077.86      2511.25      62244.6
      2058.75      1814.70      62029.8
      2290.19      846.425      62002.7
      1905.05      1492.84      61921.6
      1951.58      1279.39      61842.0
      65.1839      808.950      61364.6
      1680.65      1736.01      60947.8
      741.039      1713.31      60844.6
      748.509      1695.21      59770.9
      1666.15      1597.77      59762.3
      1199.27      1714.61      59744.3
      353.637      2468.17      59742.7
      857.289      748.373      59687.9
      1254.62      1139.23      59662.4
      1082.46      1184.46      59625.5
      651.674      2524.46      59506.1
      952.626      1070.38      58989.9
      802.029      1924.40      58959.4
      1232.41      1853.35      58853.7
      490.433      1517.79      58446.5
      819.677      1364.35      58373.2
      789.811      1951.15      58352.7
      2221.33      2304.11      58314.0
      741.934      1302.11      58078.7
      987.438      2167.06      58025.1
      458.866      1922.76      57864.5
      1035.51      1867.06      57837.3
      613.423      1856.49      57639.2
      1893.81      2523.98      57566.2
      1357.74      958.865      57461.5
      755.962      1942.46      57272.9
      1993.20      1913.67      57148.7
      974.339      1563.19      57038.9
      799.623      1326.74      56911.9
      353.309      2594.07      56847.9
      2401.32      1493.00      56790.9
      1147.61      1890.78      56758.2
      1903.96      2582.43      56625.2
      766.271      1337.43      56030.9
      641.124      1493.42      55966.5
      1249.02      956.459      55955.5
      1495.70      1690.46      55580.0
      819.166      1896.97      55433.9
      1444.93      1900.04      55379.9
      1060.03      1739.59      55374.2
      1935.75      1956.14      55228.5
      933.564      1155.13      55077.7
      752.461      1355.65      55060.5
      1013.48      1164.42      54886.8
      549.756      1153.35      54885.0
      881.436      2371.82      54753.7
      227.200      833.879      54640.2
      1541.88      443.494      54633.7
      2272.92      1888.01      54599.3
      932.445      1913.91      54473.8
      1989.06      771.652      54452.8
