            x            y            a            d            m            sx            sy             sm            c
   554.128540  1552.539185   266.438177   -28.707131    12.848886     0.001778     0.001678     0.001094     0.982947
   694.356323   434.281036   266.533700   -28.773459    12.861088     0.001827     0.001682     0.001108     0.985448
  1537.881104   338.320099   266.495352   -28.846542    12.870576     0.001810     0.001696     0.001113     0.982403
   990.874756  1003.143738   266.464496   -28.769534    12.879670     0.001817     0.001677     0.001116     0.979259
  1407.754028   166.371674   266.518554   -28.844444    12.894906     0.001871     0.001746     0.001143     0.982640
  1152.383667  1004.696594   266.455306   -28.782544    12.942847     0.001973     0.001818     0.001196     0.985689
  1049.765381  1588.449707   266.407096   -28.745516    12.958401     0.001984     0.001859     0.001214     0.987467
  1440.676025    80.297539   266.524676   -28.851342    12.959415     0.001996     0.001843     0.001212     0.988348
   566.520264   550.307983   266.530122   -28.757398    12.972457     0.002034     0.001870     0.001231     0.989012
   500.912720  1112.327637   266.481834   -28.724464    12.974769     0.001989     0.001868     0.001225     0.983316
   620.426575  1050.347900   266.480874   -28.737195    12.977889     0.002044     0.001886     0.001239     0.985385
   887.490601   485.471313   266.518157   -28.786599    12.981240     0.002056     0.001905     0.001247     0.984572
  1235.340576   113.331230   266.533116   -28.833075    12.999559     0.002075     0.001919     0.001261     0.978958
  1067.076538   501.666321   266.506606   -28.800358    13.003785     0.002041     0.001919     0.001257     0.982044
   448.340088   349.379120   266.555314   -28.757687    13.018135     0.002113     0.001960     0.001284     0.977277
   923.412598  1101.218018   266.459207   -28.759246    13.033622     0.002144     0.001958     0.001298     0.987737
   950.571777   896.766052   266.476589   -28.771498    13.034088     0.002147     0.001963     0.001298     0.989763
   746.767334   788.045044   266.498052   -28.760326    13.055711     0.002153     0.001963     0.001313     0.993497
   825.885132   896.702820   266.483576   -28.761397    13.061668     0.002156     0.002017     0.001325     0.988053
   605.881775  1281.635132   266.460311   -28.724646    13.062109     0.002160     0.002031     0.001328     0.978608
   393.543762  1422.727051   266.459160   -28.700504    13.066312     0.002214     0.002030     0.001340     0.991827
   484.828552   981.812744   266.494797   -28.729576    13.095301     0.001622     0.001582     0.001771     0.981238
   888.447449  1548.347290   266.419840   -28.734421    13.120361     0.002332     0.002151     0.001413     0.982935
   663.008911   355.525391   266.542738   -28.774786    13.121069     0.002273     0.002154     0.001404     0.984534
   331.702942  1569.796387   266.449034   -28.688262    13.121370     0.002304     0.002114     0.001402     0.989775
  1176.927002   182.315567   266.530003   -28.824952    13.135288     0.002303     0.002162     0.001419     0.990497
   344.512421   208.706757   266.574131   -28.756176    13.144121     0.002382     0.002187     0.001441     0.982344
